Date,Open,High,Low,Close,Adj Close,Volume,Name
28 September 2020,351.899994,363.950012,349.200012,362.899994,359.682983,654354,ICICBANK
29 September 2020,364.399994,364.399994,354.25,356.950012,353.785736,383530,ICICBANK
30 September 2020,357.049988,357.350006,349.5,354.899994,351.753876,1027905,ICICBANK
01 October 2020,357.5,370.950012,357.5,369.149994,365.877563,1541845,ICICBANK
05 October 2020,370.950012,382.450012,370.950012,373.149994,369.842102,737885,ICICBANK
06 October 2020,376.5,381.600006,375.049988,380.450012,377.077393,903288,ICICBANK
07 October 2020,379.899994,384.200012,374.149994,382.950012,379.555267,529587,ICICBANK
08 October 2020,385,389.600006,382.75,387.549988,384.114441,1221438,ICICBANK
09 October 2020,388.600006,403.5,386.799988,401.649994,398.089478,2517750,ICICBANK
12 October 2020,404.25,409.950012,400.549988,403.850006,400.269989,1275912,ICICBANK
13 October 2020,401.600006,401.600006,393.549988,396.149994,392.638214,470963,ICICBANK
14 October 2020,394.149994,409,389,406.799988,403.193787,555137,ICICBANK
15 October 2020,407,409.850006,389.200012,390.899994,387.434753,1838244,ICICBANK
16 October 2020,394.200012,401.299988,390.549988,395.950012,392.440002,574078,ICICBANK
19 October 2020,400.100006,418.700012,400.100006,417.049988,413.352936,1261923,ICICBANK
20 October 2020,413.950012,416.850006,410.799988,414.549988,410.875122,627993,ICICBANK
21 October 2020,416,428.25,410.399994,420.350006,416.623688,1058131,ICICBANK
22 October 2020,416.899994,419.450012,407.700012,412.950012,409.289307,790858,ICICBANK
23 October 2020,416.200012,420.549988,411.600006,416.850006,413.154724,754528,ICICBANK
26 October 2020,417.549988,418.950012,401.5,404.950012,401.360229,562727,ICICBANK
27 October 2020,404.549988,412.25,393,409.850006,406.216766,1081231,ICICBANK
28 October 2020,412.5,412.5,395,396.149994,392.638214,1400235,ICICBANK
29 October 2020,391.600006,401.899994,389.600006,399.899994,396.35498,1124281,ICICBANK
30 October 2020,400.700012,402.850006,388.100006,392.549988,389.070129,1062794,ICICBANK
02 November 2020,417.950012,422.850006,407.200012,417.100006,413.402496,2489034,ICICBANK
03 November 2020,424.200012,447,424.100006,444.25,440.311829,1948570,ICICBANK
04 November 2020,436,442.100006,425.149994,437.25,433.373901,1810742,ICICBANK
05 November 2020,444,445.5,435.649994,438.299988,434.414551,1536714,ICICBANK
06 November 2020,439.950012,444.899994,436.399994,443.100006,439.172028,1508681,ICICBANK
09 November 2020,449.200012,464.649994,449.149994,462.700012,458.598267,2182652,ICICBANK
10 November 2020,484.25,486.5,472.799988,483.899994,479.610321,2300829,ICICBANK
11 November 2020,484.5,490.5,472.25,486.5,482.187286,2474890,ICICBANK
12 November 2020,481,483.399994,471.600006,476.299988,472.077698,976338,ICICBANK
13 November 2020,473.5,486.799988,467.700012,485.399994,481.097046,1820162,ICICBANK
14 November 2020,489.899994,489.899994,484.549988,486.75,482.435059,164532,ICICBANK
17 November 2020,487,493.149994,478.450012,486.200012,481.889984,1176606,ICICBANK
18 November 2020,489,499,486.649994,497.450012,493.040222,1249127,ICICBANK
19 November 2020,490,493.25,476,478.350006,474.109558,982908,ICICBANK
20 November 2020,478.649994,483.25,468.299988,480.200012,475.943146,1097187,ICICBANK
23 November 2020,480.399994,483.200012,466.600006,468.299988,464.148621,1300868,ICICBANK
24 November 2020,473.100006,479.700012,471.149994,478.299988,474.059998,1376691,ICICBANK
25 November 2020,483,489.799988,471.299988,472.649994,468.460083,1865224,ICICBANK
26 November 2020,474.200012,477.049988,465.950012,475.399994,471.185669,884248,ICICBANK
27 November 2020,475.600006,479.299988,471,472.799988,468.608704,1424943,ICICBANK
01 December 2020,483,488.5,474.149994,485.25,480.948364,525524,ICICBANK
02 December 2020,487,487,472.200012,480.450012,476.190918,856788,ICICBANK
03 December 2020,481.700012,484.799988,479,481.899994,477.628052,1980461,ICICBANK
04 December 2020,484.450012,504,483.100006,502.149994,497.698547,2357211,ICICBANK
07 December 2020,504.100006,515.5,504.100006,510.649994,506.123199,1609886,ICICBANK
08 December 2020,511.700012,511.700012,505.299988,508.5,503.992279,1033896,ICICBANK
09 December 2020,511.399994,514.950012,506.100006,511.299988,506.767456,901211,ICICBANK
10 December 2020,508.5,514.400024,498.799988,506.950012,502.456024,1011151,ICICBANK
11 December 2020,508.5,516.900024,506.149994,515.200012,510.632904,1201141,ICICBANK
14 December 2020,517.25,527.900024,517.25,525.849976,521.188416,1667240,ICICBANK
15 December 2020,524.900024,524.900024,513.150024,517.900024,513.30896,1440293,ICICBANK
16 December 2020,520.799988,521.349976,511.100006,512.25,507.709015,634935,ICICBANK
17 December 2020,514,516.450012,509.049988,509.899994,505.379852,776704,ICICBANK
18 December 2020,514.700012,518.200012,509.350006,517.049988,512.466431,850294,ICICBANK
21 December 2020,515.400024,515.400024,488.299988,494.350006,489.967712,1103015,ICICBANK
22 December 2020,495.100006,501.75,489,500.5,496.063171,900684,ICICBANK
23 December 2020,499,505.399994,496.299988,503.600006,499.135742,976991,ICICBANK
24 December 2020,507.200012,515.900024,506.100006,513.650024,509.096649,851689,ICICBANK
28 December 2020,516.450012,521.150024,514.049988,520.200012,515.588562,869004,ICICBANK
29 December 2020,522.799988,530.799988,517.75,528.950012,524.260986,1420678,ICICBANK
30 December 2020,532.599976,532.849976,524.599976,528.450012,523.765442,866108,ICICBANK
31 December 2020,530,538.400024,526.650024,534.799988,530.059143,861449,ICICBANK
01 January 2021,534.799988,536.400024,526.400024,527.549988,522.873352,363909,ICICBANK
04 January 2021,531.299988,535,524.049988,531.650024,526.937073,1010850,ICICBANK
05 January 2021,527.349976,539.950012,522.799988,537.049988,532.289185,719708,ICICBANK
06 January 2021,537.299988,550.549988,536.200012,546.700012,541.853638,931048,ICICBANK
07 January 2021,551,554.150024,539.700012,541.099976,536.303223,857751,ICICBANK
08 January 2021,546,546.650024,536.400024,542.099976,537.294373,692159,ICICBANK
11 January 2021,544.200012,545.950012,534.799988,544.75,539.920898,1028422,ICICBANK
12 January 2021,538.049988,550.5,537.200012,547.900024,543.04303,828980,ICICBANK
13 January 2021,550.5,561,548.700012,556.400024,551.467651,771708,ICICBANK
14 January 2021,554.400024,558.25,550.549988,553,548.097778,904302,ICICBANK
15 January 2021,550.75,551.099976,541.849976,542.799988,537.98822,617838,ICICBANK
18 January 2021,543.5,548.400024,528.799988,532.25,527.531738,570935,ICICBANK
19 January 2021,539.799988,547.950012,534,546.299988,541.457153,360028,ICICBANK
20 January 2021,546.900024,554.5,546.900024,550.799988,545.917236,387790,ICICBANK
21 January 2021,554.549988,560.849976,549.700012,552.25,547.354431,530354,ICICBANK
22 January 2021,552.25,553.799988,530.799988,533.549988,528.82019,680878,ICICBANK
25 January 2021,534,542.299988,531.200012,538.099976,533.329834,625332,ICICBANK
27 January 2021,538.099976,539.25,519.099976,522.299988,517.669922,752296,ICICBANK
28 January 2021,513,530,512.099976,528.150024,523.468079,1281014,ICICBANK
29 January 2021,536,544.799988,529.849976,537,532.239624,670598,ICICBANK
01 February 2021,550.200012,609.5,550.200012,603.950012,598.59613,2578043,ICICBANK
02 February 2021,613.400024,623.900024,598.700012,617.25,611.778259,2042403,ICICBANK
03 February 2021,623,627.5,614,622.25,616.733887,2689546,ICICBANK
04 February 2021,618,631.5,609,627.5,621.937378,1267484,ICICBANK
05 February 2021,639,639,611.099976,614.599976,609.151672,991465,ICICBANK
08 February 2021,622.299988,633.849976,622.299988,629.549988,623.969177,1482779,ICICBANK
09 February 2021,630.099976,643.049988,628.75,633.700012,628.082397,748057,ICICBANK
10 February 2021,633,638.200012,626.5,632.400024,626.793945,507878,ICICBANK
11 February 2021,627,633.599976,624.200012,630.650024,625.059448,422086,ICICBANK
12 February 2021,630.400024,649.25,630,647.5,641.760071,506817,ICICBANK
15 February 2021,652,676.5,652,674,668.025146,909641,ICICBANK
16 February 2021,674.5,679.299988,649.299988,658.5,652.662537,792731,ICICBANK
17 February 2021,655.349976,664.75,649.400024,657,651.175903,657655,ICICBANK
18 February 2021,659.950012,659.950012,637.849976,644.549988,638.836182,890825,ICICBANK
19 February 2021,638,638,618.950012,623.900024,618.369324,689108,ICICBANK
22 February 2021,622.75,629.25,607.5,609.849976,604.443848,485393,ICICBANK
23 February 2021,613.549988,622.900024,608.75,616.150024,610.687988,713918,ICICBANK
24 February 2021,612,646.599976,582.200012,640.25,634.574341,3959481,ICICBANK
25 February 2021,640.150024,648.349976,626.549988,627.950012,622.383362,2165974,ICICBANK
26 February 2021,615.5,615.549988,591.049988,597.599976,592.302429,3441516,ICICBANK
01 March 2021,606,611.75,600.400024,608.150024,602.758911,821597,ICICBANK
02 March 2021,612.400024,616.150024,598.950012,610.5,605.088074,585762,ICICBANK
03 March 2021,616.200012,633.5,613.75,631.849976,626.248779,1836511,ICICBANK
04 March 2021,620.400024,630.599976,615.700012,620.900024,615.395874,1063710,ICICBANK
05 March 2021,615,615,601.5,609.700012,604.295166,1000801,ICICBANK
08 March 2021,612.549988,615.950012,601.549988,608.150024,602.758911,711132,ICICBANK
09 March 2021,613.099976,628,613.099976,625.200012,619.657776,1126796,ICICBANK
10 March 2021,630.400024,630.400024,621.700012,625.75,620.202881,722839,ICICBANK
12 March 2021,633,637.75,608.400024,612.849976,607.417175,1187019,ICICBANK
15 March 2021,611.099976,612.599976,590.650024,603.25,597.902283,4022201,ICICBANK
16 March 2021,608.150024,608.150024,593.599976,594.900024,589.626343,497318,ICICBANK
17 March 2021,595.549988,603.549988,586.900024,589.25,584.026428,524768,ICICBANK
